Name,Description,Quantity,Unit Price($),Total (USD),,
0402WGF1001TCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 1kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06,,
0402CG150J500NT,50V 15pF C0G ±5% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.001,0.1,,Some parts have a min order quantity
CC0201KRX5R6BB104,10V 100nF X5R ±10% 0201 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,100,0.0011,0.11,,
W25Q128JVPIQ,SPI 133MHz WSON-8-EP(5x6) NOR FLASH ROHS,1,0.9177,0.92,,
ABM8-272-T3,SMD3225-4P Crystals ROHS,1,0.3731,0.37,,
0603WAF100KT5E,100mW Thick Film Resistor 75V ±1% ±400ppm/℃ 1Ω 0603 Chip Resistor - Surface Mount ROHS,100,0.0016,0.16,,
KT-0805G,Emerald Green 0805 LED Indication - Discrete ROHS,50,0.011,0.55,,
CL05A475MP5NRNC,10V 4.7uF X5R ±20% 0402 Multilayer Ceramic Capacitors MLCC - SMD/SMT ROHS,50,0.0052,0.26,,
0402WGF2000TCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 200Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06,,
0402WGF330JTCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 33Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06,,
0402WGF4700TCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 470Ω 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06,,
0402WGF1002TCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 10kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0006,0.06,,
0402WGF5101TCE,62.5mW Thick Film Resistor 50V ±100ppm/℃ ±1% 5.1kΩ 0402 Chip Resistor - Surface Mount ROHS,100,0.0005,0.05,,
TYPE-C 16PIN 2MD(073),"3A USB 3.1 1 Surface Mount, Right Angle 16P Female -25℃~+85℃ Type-C SMD USB Connectors ROHS",10,0.0549,0.55,,
XL-5050RGBC-WS2812B,SMD5050 RGB LEDs(Built-in IC) ROHS,10,0.049,0.49,,
TPS7A2033PDBVR,"65dB@(100kHz) 300mA Fixed 3.3V Positive 6V SOT-23-5 Voltage Regulators - Linear, Low Drop Out (LDO) Regulators ROHS",5,0.2081,1.04,,
APS6404L-3SQR-ZR,USON-8L DRAM ROHS,1,1.1433,1.14,,
RP2350A,QFN-60-EP(7x7) Microcontrollers (MCU/MPU/SOC) ROHS,1,1.6544,1.6544,,
AOTA-B201610S3R3-101-T,0806 Power Inductors ROHS,5,0.2584,1.29,,
0201WMF270JTEE,50mW Thick Film Resistor 25V ±1% ±200ppm/℃ 27Ω 0201 Chip Resistor - Surface Mount ROHS,100,0.0008,0.08,,
TS-1088-AR02016,"Without Bracket 50mA 4mm 100,000 Cycles 12V 1.6N 3mm 2mm Round Button Surface Mount,Vertical SPST SMD Tactile Switches ROHS",10,0.0434,0.43,,
B5819W SL,40V 600mV@1A 1A SOD-123 Schottky Diodes ROHS,20,0.0233,0.47,,
LCSC Shipping,,,,12.12,,
PCB,,,,56.1,,
Stencil,,,,7,,
JLC Shipping,,,,7.78,,
Hotplate,Amazon cost = Aliexpress cost so why not amazon https://www.amazon.ca/Soldering-Preheating-Thermostat-Electronic-Laboratory/dp/B0C8B5TMYC/,1,,18.13,,
,,,,,,
TOTAL,,,,111.0944,,
